model,seed,mae,rank_correlation,calibration_slope
witness,42,0.084815,0.314685,0.358458
witness,123,0.133482,0.419580,0.412931
witness,777,0.200997,-0.223776,-0.226055
control,42,0.091471,-0.223776,-0.169883
control,123,0.208212,-0.657343,-0.653607
control,777,0.160690,-0.167832,-0.337250
witness_mean,mean,0.139765,0.170163,0.181778
control_mean,mean,0.153458,-0.349650,-0.386913
