variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.018270,0.200247,0.781048
witness,123,0.014006,0.589137,1.440160
witness,777,0.020834,0.431242,0.658192
control,42,0.021237,-0.126097,0.155581
control,123,0.016851,0.283495,1.199999
control,777,0.021490,0.207994,0.425803
mean_witness,,0.017703,0.406875,0.959800
mean_control,,0.019859,0.121797,0.593794
