variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.036890,0.115633,0.363636
witness,123,0.032991,0.433219,0.682191
witness,777,0.029457,0.175070,1.009340
control,42,0.039912,-0.158448,-0.994253
control,123,0.031810,0.367059,0.952580
control,777,0.028672,0.247426,0.905860
mean_witness,,0.033113,0.241307,0.685056
mean_control,,0.033465,0.152012,0.288062
