model,seed,mae,rank_correlation,calibration_slope
witness,42,0.108815,0.587413,0.491713
witness,123,0.109310,0.517483,0.580024
witness,777,0.106028,-0.300699,-0.933637
control,42,0.115007,-0.209790,-0.208563
control,123,0.155590,-0.300699,-0.712791
control,777,0.128023,-0.608392,-0.991121
witness_mean,mean,0.108051,0.268066,0.046033
control_mean,mean,0.132873,-0.372960,-0.637492
