"role","seed","mae","rank_correlation","calibration_slope"
"control","123","0.081638","0.025848","0.007202"
"control","42","0.116349","0.107781","0.399754"
"control","777","0.148345","0.237807","0.390457"
"witness","123","0.072453","-0.012832","0.119362"
"witness","42","0.13863","0.063422","0.054514"
"witness","777","0.135845","0.185185","0.517494"
