variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.023416,0.354457,0.866755
witness,123,0.017740,0.357516,0.751773
witness,777,0.027683,0.175427,0.899652
control,42,35.698635,-0.112859,0.000186
control,123,0.021446,-0.136504,-0.163327
control,777,0.031015,-0.029825,0.289940
mean_witness,,0.022946,0.295800,0.839393
mean_control,,11.917032,-0.093063,0.042266
