model,seed,mae,rank_correlation,calibration_slope
witness,42,0.087507,0.555882,1.579577
witness,123,0.080875,0.513613,1.129549
witness,777,0.046933,0.832353,1.473176
control,42,0.147988,-0.329412,-0.636339
control,123,0.116802,0.070640,0.224388
control,777,0.088762,0.391176,0.390335
witness_mean,mean,0.071772,0.633949,1.394101
control_mean,mean,0.117851,0.044135,-0.007205
