variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.000000,0.000000,0.000000
witness,123,0.011099,1.000000,9.369600
witness,777,0.015008,-1.000000,-39.036911
control,42,0.000000,0.000000,0.000000
control,123,0.021581,-1.000000,-4.838686
control,777,0.020074,-1.000000,-2.689883
witness_mean,mean,0.008702,0.000000,-9.889104
control_mean,mean,0.013885,-0.666667,-2.509523
