model,seed,mae,rank_correlation,calibration_slope
witness,42,0.134441,-0.800000,-0.774586
witness,123,0.168582,-0.800000,-0.386681
witness,777,0.069035,-0.400000,-0.376356
control,42,0.148385,-0.800000,-0.836526
control,123,0.191008,0.200000,0.352251
control,777,0.043119,0.800000,2.084970
witness_mean,mean,0.124019,-0.666667,-0.512541
control_mean,mean,0.127504,0.066667,0.533565
