variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.003034,-1.000000,-0.288655
witness,123,0.000000,0.000000,0.000000
witness,777,0.000000,0.000000,0.000000
control,42,0.010412,-1.000000,-1.154055
control,123,0.000000,0.000000,0.000000
control,777,0.000000,0.000000,0.000000
witness_mean,mean,0.001011,-0.333333,-0.096218
control_mean,mean,0.003471,-0.333333,-0.384685
