variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.033852,0.634825,1.022346
witness,123,0.039919,0.378995,0.760774
witness,777,0.027544,0.079862,0.141947
control,42,0.051473,-0.225585,-0.599761
control,123,0.039620,0.056276,0.591360
control,777,0.028636,-0.236386,-0.866328
mean_witness,,0.033772,0.364561,0.641689
mean_control,,0.039910,-0.135232,-0.291576
