model,seed,mae,rank_correlation,calibration_slope
witness,42,0.103508,0.419580,0.880871
witness,123,0.115523,0.657343,0.953911
witness,777,0.249132,-0.587413,-1.346550
control,42,0.130714,-0.174825,-0.538187
control,123,0.110264,0.433566,0.977575
control,777,0.248014,-0.594406,-0.812607
witness_mean,mean,0.156054,0.163170,0.162744
control_mean,mean,0.162997,-0.111888,-0.124406
