variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.026381,0.202964,0.449930
witness,123,0.026599,0.609377,1.036331
witness,777,0.033909,0.189757,0.420372
control,42,0.024213,0.185275,0.120103
control,123,0.030684,0.248790,0.594977
control,777,0.036578,-0.208550,-0.448426
mean_witness,,0.028963,0.334033,0.635544
mean_control,,0.030492,0.075172,0.088885
