model,seed,mae,rank_correlation,calibration_slope
witness,42,0.175184,-0.800000,-0.561058
witness,123,0.103345,-1.000000,-0.362142
witness,777,0.090192,0.400000,0.550877
control,42,0.121723,-1.000000,-1.214003
control,123,0.076840,-0.800000,-0.206736
control,777,0.234079,0.400000,0.288614
witness_mean,mean,0.122907,-0.466667,-0.124108
control_mean,mean,0.144214,-0.466667,-0.377375
