model,seed,mae,rank_correlation,calibration_slope
witness,42,0.076030,0.286713,0.369756
witness,123,0.118839,0.412587,0.434983
witness,777,0.118813,-0.328671,-0.109651
control,42,0.084448,-0.195804,-0.620040
control,123,0.173283,-0.566434,-0.907137
control,777,0.094319,-0.447552,-1.964173
witness_mean,mean,0.104561,0.123543,0.231696
control_mean,mean,0.117350,-0.403263,-1.163783
