model,seed,mae,rank_correlation,calibration_slope
witness,42,0.184543,-0.400000,-0.631319
witness,123,0.081596,0.000000,0.351518
witness,777,0.225878,-0.400000,-0.804801
control,42,0.170387,-1.000000,-0.670166
control,123,0.173170,-0.800000,-0.589963
control,777,0.277527,-1.000000,-0.727199
witness_mean,mean,0.164006,-0.266667,-0.361534
control_mean,mean,0.207028,-0.933333,-0.662443
