variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.010149,1.000000,0.457540
witness,123,0.000000,0.000000,0.000000
witness,777,0.025146,1.000000,1.562278
control,42,0.018308,1.000000,0.180370
control,123,0.000000,0.000000,0.000000
control,777,0.081371,-1.000000,-6.074243
witness_mean,mean,0.011765,0.666667,0.673273
control_mean,mean,0.033226,0.000000,-1.964624
