"run_id","variant","dataset","seed","backend","mae","rank_correlation","calibration_slope","train_loss_final","eval_loss","data_mode"
"symbolic-insufficiency-witness-dual-atlas-transition-bilinear-s42","V_future_relational_witness_symbolic_insufficiency","synthetic_symbolic_insufficiency_transition_response","42","sim_quantum_statevector","0.091881","0.987491","0.958442","0.053744","0.091881","synthetic_symbolic_insufficiency_transition_response+readout_relational_witness_symbolic_insufficiency+head_linear"
"symbolic-insufficiency-witness-dual-atlas-transition-bilinear-s123","V_future_relational_witness_symbolic_insufficiency","synthetic_symbolic_insufficiency_transition_response","123","sim_quantum_statevector","0.140404","0.95","1.036111","0.036867","0.140404","synthetic_symbolic_insufficiency_transition_response+readout_relational_witness_symbolic_insufficiency+head_linear"
"symbolic-insufficiency-witness-dual-atlas-transition-bilinear-s777","V_future_relational_witness_symbolic_insufficiency","synthetic_symbolic_insufficiency_transition_response","777","sim_quantum_statevector","0.126887","0.964706","0.974537","0.044491","0.126887","synthetic_symbolic_insufficiency_transition_response+readout_relational_witness_symbolic_insufficiency+head_linear"
"symbolic-insufficiency-control-dual-atlas-transition-bilinear-s42","V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_bilinear","synthetic_symbolic_insufficiency_transition_response","42","sim_quantum_statevector","0.320867","-0.140326","-0.38667","0.168386","0.320867","synthetic_symbolic_insufficiency_transition_response+readout_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_bilinear+head_linear"
"symbolic-insufficiency-control-dual-atlas-transition-bilinear-s123","V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_bilinear","synthetic_symbolic_insufficiency_transition_response","123","sim_quantum_statevector","0.312538","0.140015","-0.055037","0.189857","0.312538","synthetic_symbolic_insufficiency_transition_response+readout_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_bilinear+head_linear"
"symbolic-insufficiency-control-dual-atlas-transition-bilinear-s777","V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_bilinear","synthetic_symbolic_insufficiency_transition_response","777","sim_quantum_statevector","0.294024","0.469029","0.716713","0.183821","0.294024","synthetic_symbolic_insufficiency_transition_response+readout_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_bilinear+head_linear"
