variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.018887,0.268951,0.659295
witness,123,0.025754,0.514780,1.171443
witness,777,0.027411,0.133780,0.835639
control,42,0.018484,0.061680,-0.097902
control,123,0.030129,0.219018,0.411713
control,777,0.031319,-0.295765,-0.686504
mean_witness,,0.024017,0.305837,0.888792
mean_control,,0.026644,-0.005022,-0.124231
