variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.021108,0.390091,0.783852
witness,123,0.017769,0.436738,0.817461
witness,777,0.036824,0.341592,1.274595
control,42,0.027955,-0.032067,-0.410652
control,123,0.019594,0.494096,0.830595
control,777,0.038615,0.148310,1.757739
mean_witness,,0.025234,0.389474,0.958636
mean_control,,0.028721,0.203446,0.725894
