variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.011124,0.155338,0.943724
witness,123,0.021327,0.198696,0.986557
witness,777,0.015451,0.299841,1.336200
control,42,0.011873,-0.049358,0.133671
control,123,0.021050,0.075516,-0.453274
control,777,0.016851,0.220797,0.788230
mean_witness,,0.015967,0.217958,1.088827
mean_control,,0.016591,0.082318,0.156209
