variant,seed,mae,rank_correlation,calibration_slope
V_future_relational_witness_symbolic_insufficiency_cascade_reconciliation,42,0.084079,0.85,0.670384
V_future_relational_witness_symbolic_insufficiency_cascade_reconciliation,123,0.090319,0.444118,0.34083
V_future_relational_witness_symbolic_insufficiency_cascade_reconciliation,777,0.074129,0.605882,0.955912
V_control_symbolic_symbolic_insufficiency_cascade_reconciliation_regressor,42,0.13173,0.011765,0.255833
V_control_symbolic_symbolic_insufficiency_cascade_reconciliation_regressor,123,0.10353,0.618102,0.766852
V_control_symbolic_symbolic_insufficiency_cascade_reconciliation_regressor,777,0.113294,-0.523529,-0.951874
