variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.024327,0.716061,0.823831
witness,123,0.015957,0.069251,0.135404
witness,777,0.012628,0.480923,0.987727
control,42,0.023969,0.569295,1.711846
control,123,0.019776,-0.332817,-0.976178
control,777,0.016835,0.189390,0.561121
mean_witness,,0.017637,0.422078,0.648987
mean_control,,0.020193,0.141956,0.432263
