"role","seed","mae","rank_correlation","calibration_slope"
"control","123","0.090225","0.026393","0.113369"
"control","42","0.057907","0.049487","-0.034445"
"control","777","0.07454","-0.089076","-0.172385"
"witness","123","0.060236","0.590176","1.113118"
"witness","42","0.058469","0.202713","0.342812"
"witness","777","0.06454","0.494501","0.638219"
