variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.010465,0.645595,0.692334
witness,123,0.013244,0.423119,0.615607
witness,777,0.021038,0.576802,1.045710
control,42,0.016339,0.319438,0.385183
control,123,0.014418,0.164055,0.685535
control,777,0.029227,-0.116829,0.032556
mean_witness,,0.014916,0.548505,0.784550
mean_control,,0.019995,0.122221,0.367758
