variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.014141,0.129983,0.782387
witness,123,0.014618,0.458408,1.368372
witness,777,0.016461,0.528414,1.144661
control,42,0.015110,-0.166990,-0.553462
control,123,0.015064,0.509795,1.288776
control,777,0.023196,-0.382736,-2.566822
mean_witness,,0.015073,0.372268,1.098473
mean_control,,0.017790,-0.013310,-0.610503
