variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.031230,0.090346,0.067765
witness,123,0.024529,0.552369,1.028864
witness,777,0.026315,0.661721,0.960949
control,42,0.032292,0.079137,-0.130089
control,123,0.030276,-0.146158,-0.541085
control,777,0.038674,0.273217,0.053881
mean_witness,,0.027358,0.434812,0.685859
mean_control,,0.033747,0.068732,-0.205764
