variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.039754,0.257246,0.782243
witness,123,0.025044,0.239502,0.732854
witness,777,0.023049,0.296576,1.090505
control,42,0.039632,-0.094881,-1.285323
control,123,0.023479,0.106381,1.108514
control,777,0.022861,0.126632,0.754795
mean_witness,,0.029282,0.264441,0.868534
mean_control,,0.028657,0.046044,0.192662
