variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.004225,0.834308,1.004581
witness,123,0.014951,-0.075501,1.308210
witness,777,0.009970,0.246948,1.241750
control,42,0.007307,0.419013,1.454877
control,123,0.015691,0.235672,1.441146
control,777,0.015916,-0.225431,-0.091161
mean_witness,,0.009715,0.335252,1.184847
mean_control,,0.012971,0.143085,0.934954
