variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.007106,-0.151883,-0.257577
witness,123,0.021859,0.600851,0.948136
witness,777,0.006658,0.098945,0.626183
control,42,0.006827,-0.238409,-0.852589
control,123,0.030103,0.028612,-0.089015
control,777,0.007344,-0.223694,-0.977150
mean_witness,,0.011874,0.182638,0.438914
mean_control,,0.014758,-0.144497,-0.639585
