variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.022672,0.482581,1.169088
witness,123,0.017645,0.257850,0.422174
witness,777,0.018535,0.651690,1.415559
control,42,0.029000,0.112923,0.437545
control,123,0.017775,0.070904,0.270018
control,777,0.024543,0.105826,0.300133
mean_witness,,0.019617,0.464040,1.002274
mean_control,,0.023773,0.096551,0.335899
