model,seed,mae,rank_correlation,calibration_slope
witness,42,0.214684,-1.000000,-0.985390
witness,123,0.251337,-1.000000,-1.637727
witness,777,0.171489,1.000000,2.154513
control,42,0.124186,-0.200000,-0.363596
control,123,0.231632,-0.600000,-1.931200
control,777,0.299672,0.000000,-0.219343
witness_mean,mean,0.212503,-0.333333,-0.156201
control_mean,mean,0.218497,-0.266667,-0.838046
