dataset,backend,seed,pair_reindex,variant,mae,rank_correlation,calibration_slope
synthetic_positional_offset_retrieval_response,sim_quantum_statevector,42,1,V_future_relational_witness_positional_offset_retrieval,0.077716,0.071304,-0.053226
synthetic_positional_offset_retrieval_response,sim_quantum_statevector,123,1,V_future_relational_witness_positional_offset_retrieval,0.057568,-0.17913,-0.179484
synthetic_positional_offset_retrieval_response,sim_quantum_statevector,777,1,V_future_relational_witness_positional_offset_retrieval,0.104027,-0.402609,-0.424693
synthetic_positional_offset_retrieval_response,sim_quantum_statevector,42,1,V_control_symbolic_positional_offset_retrieval_regressor,0.07522,-0.018261,0.151115
synthetic_positional_offset_retrieval_response,sim_quantum_statevector,123,1,V_control_symbolic_positional_offset_retrieval_regressor,0.048362,0.121739,0.027622
synthetic_positional_offset_retrieval_response,sim_quantum_statevector,777,1,V_control_symbolic_positional_offset_retrieval_regressor,0.128987,-0.178261,-0.129688
