variant,mae,rank_correlation,calibration_slope
V_future_relational_witness_symbolic_insufficiency,0.119724,0.967399,0.989697
V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_quartic,0.309315,0.166104,0.104487
