variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.040232,0.320623,0.824576
witness,123,0.025685,0.447345,1.085333
witness,777,0.025647,0.626801,0.900766
control,42,0.046736,-0.392515,-1.334114
control,123,0.030424,-0.236563,-1.020166
control,777,0.031949,0.039230,0.437121
mean_witness,,0.030521,0.464923,0.936892
mean_control,,0.036370,-0.196616,-0.639053
