model,seed,mae,rank_correlation,calibration_slope
witness,42,0.042262,0.291391,0.650806
witness,123,0.067477,0.705882,0.728067
witness,777,0.070381,0.500000,1.207665
control,42,0.063613,-0.476821,-0.449754
control,123,0.186526,-0.673529,-0.744507
control,777,0.077865,0.497059,0.465362
witness_mean,mean,0.060040,0.499091,0.862179
control_mean,mean,0.109335,-0.217764,-0.242966
