"variant","mean_mae","mean_rank_correlation","mean_calibration_slope"
"V_future_relational_witness_symbolic_insufficiency","0.119724","0.967399","0.989697"
"V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_transition_cubic","0.310598","0.173982","0.088766"
