"role","seed","mae","rank_correlation","calibration_slope"
"control","123","0.125528","-0.097507","-0.170571"
"control","42","0.10556","0.362203","0.571388"
"control","777","0.144323","-0.072037","-0.182759"
"witness","123","0.104888","0.446481","1.055729"
"witness","42","0.084733","0.59078","0.983496"
"witness","777","0.093948","0.643571","0.939851"
