variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.014233,0.437990,0.944356
witness,123,0.025905,0.357851,0.713203
witness,777,0.017284,0.293966,0.850392
control,42,0.019993,-0.221892,-0.516922
control,123,0.027609,0.059931,-0.194983
control,777,0.018866,0.103340,0.215979
mean_witness,,0.019141,0.363269,0.835984
mean_control,,0.022156,-0.019540,-0.165309
