run_id,variant,seed,mae,rank_correlation,calibration_slope,accuracy,f1
transition-witness-c-s42,V_future_relational_witness_chart_transition,42,0.085553,0.841105,0.986232,0.0,0.0
transition-witness-c-s123,V_future_relational_witness_chart_transition,123,0.075881,0.9241,0.999487,0.0,0.0
transition-witness-c-s777,V_future_relational_witness_chart_transition,777,0.259146,0.980807,0.984721,0.0,0.0
transition-cubic-s42,V_control_symbolic_transition_cubic_regressor,42,0.095199,0.873747,1.073881,0.0,0.0
transition-cubic-s123,V_control_symbolic_transition_cubic_regressor,123,0.135186,0.795261,0.932504,0.0,0.0
transition-cubic-s777,V_control_symbolic_transition_cubic_regressor,777,0.243101,0.839175,1.120064,0.0,0.0
