role,seed,variant,pair_reindex,mae,rank_correlation,calibration_slope
witness,42,V_future_relational_witness_positional_variable_cardinality_offset_selection,1,0.03936289628548923,0.545177,1.369571
witness,123,V_future_relational_witness_positional_variable_cardinality_offset_selection,1,0.062198677651270406,0.418449,0.795482
witness,777,V_future_relational_witness_positional_variable_cardinality_offset_selection,1,0.04615496242302415,0.5218,0.83988
control,42,V_control_symbolic_positional_variable_cardinality_offset_selection_regressor,1,0.049402382294284744,0.199895,0.751816
control,123,V_control_symbolic_positional_variable_cardinality_offset_selection_regressor,1,0.06481430381977304,0.229239,0.835847
control,777,V_control_symbolic_positional_variable_cardinality_offset_selection_regressor,1,0.055067415172198195,0.24427,0.863181
