model,seed,mae,rank_correlation,calibration_slope
witness,42,0.087050,0.800000,1.010632
witness,123,0.129052,0.800000,1.172391
witness,777,0.198789,-1.000000,-0.629275
control,42,0.134162,0.000000,-0.381016
control,123,0.384449,-1.000000,-0.590411
control,777,0.127070,-0.800000,-0.957654
witness_mean,mean,0.138297,0.200000,0.517916
control_mean,mean,0.215227,-0.600000,-0.643027
