run_id,variant,dataset,seed,backend,accuracy,f1,train_loss_final,eval_loss,qubit_count,gate_count_total,circuit_depth,shot_count,noise_model,dry_run,run_mode,data_mode,mixing_preset,local_readout
mixscreen-mix_v2-yelp-s42,V3,yelp,42,sim_quantum_statevector,0.625,0.571429,0.6668,0.636299,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-yelp-s123,V3,yelp,123,sim_quantum_statevector,0.5,0.666667,0.726082,0.628223,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-yelp-s777,V3,yelp,777,sim_quantum_statevector,0.625,0.727273,0.698224,0.603865,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-yelp-s2024,V3,yelp,2024,sim_quantum_statevector,0.5,0.6,0.653659,0.735199,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-yelp-s9001,V3,yelp,9001,sim_quantum_statevector,0.625,0.571429,0.668356,0.77152,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-imdb-s42,V3,imdb,42,sim_quantum_statevector,0.875,0.857143,0.646483,0.630327,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-imdb-s123,V3,imdb,123,sim_quantum_statevector,0.125,0.0,0.746628,0.764698,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-imdb-s777,V3,imdb,777,sim_quantum_statevector,0.625,0.571429,0.682651,0.693109,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-imdb-s2024,V3,imdb,2024,sim_quantum_statevector,0.375,0.285714,0.627314,0.73593,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-imdb-s9001,V3,imdb,9001,sim_quantum_statevector,0.375,0.0,0.721452,0.763777,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-amazon-s42,V3,amazon,42,sim_quantum_statevector,0.625,0.666667,0.742016,0.708314,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-amazon-s123,V3,amazon,123,sim_quantum_statevector,0.625,0.666667,0.734059,0.723354,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-amazon-s777,V3,amazon,777,sim_quantum_statevector,0.5,0.0,0.668081,0.666758,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-amazon-s2024,V3,amazon,2024,sim_quantum_statevector,0.375,0.545455,0.708779,0.718664,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
mixscreen-mix_v2-amazon-s9001,V3,amazon,9001,sim_quantum_statevector,0.625,0.4,0.701124,0.635828,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v2,mix_v2,parity
