run_id,variant,dataset,seed,backend,accuracy,f1,train_loss_final,eval_loss,qubit_count,gate_count_total,circuit_depth,shot_count,noise_model,dry_run,run_mode,data_mode,mixing_preset,local_readout
itail-mix_v0-yelp-s42,V3,yelp,42,sim_quantum_statevector,0.625,0.666667,0.808462,0.715897,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s123,V3,yelp,123,sim_quantum_statevector,0.625,0.4,0.749315,0.682185,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s777,V3,yelp,777,sim_quantum_statevector,0.75,0.75,0.82934,0.682482,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s2024,V3,yelp,2024,sim_quantum_statevector,0.375,0.444444,0.739714,0.749462,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-yelp-s9001,V3,yelp,9001,sim_quantum_statevector,0.625,0.571429,0.791112,0.644248,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s42,V3,imdb,42,sim_quantum_statevector,0.5,0.5,0.746633,0.73131,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s123,V3,imdb,123,sim_quantum_statevector,0.25,0.4,0.667536,0.944467,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s777,V3,imdb,777,sim_quantum_statevector,0.625,0.4,0.763209,0.87882,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s2024,V3,imdb,2024,sim_quantum_statevector,0.625,0.571429,0.66347,0.772169,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-imdb-s9001,V3,imdb,9001,sim_quantum_statevector,0.375,0.444444,0.811943,0.768627,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
itail-mix_v0-amazon-s42,V3,amazon,42,sim_quantum_statevector,0.25,0.4,0.816175,0.88032,8,112,7,256,none,False,real,local_jsonl+readout_parity+mix_mix_v0,mix_v0,parity
