model,seed,mae,rank_correlation,calibration_slope
witness,42,0.187988,0.083916,-0.023703
witness,123,0.093822,0.293706,0.352117
witness,777,0.076990,0.209790,0.036769
control,42,0.230368,-0.496503,-0.714020
control,123,0.096704,0.076923,0.182041
control,777,0.097757,-0.426573,-0.459264
witness_mean,mean,0.119600,0.195804,0.121728
control_mean,mean,0.141610,-0.282051,-0.330414
