model,seed,mae,rank_correlation,calibration_slope
witness,42,0.105163,0.190476,0.200339
witness,123,0.104012,0.047619,0.246248
witness,777,0.128818,-0.261905,-1.331297
control,42,0.073503,0.547619,0.518798
control,123,0.140928,0.000000,-0.102184
control,777,0.133852,0.023810,-0.613431
witness_mean,mean,0.112664,-0.007937,-0.294903
control_mean,mean,0.116094,0.190476,-0.065606
