run_id,variant,seed,mae,rank_correlation,calibration_slope
symbolic-insufficiency-witness-dual-atlas-bilinear-s42,V_future_relational_witness_symbolic_insufficiency,42,0.091881,0.987491,0.958442
symbolic-insufficiency-witness-dual-atlas-bilinear-s123,V_future_relational_witness_symbolic_insufficiency,123,0.140404,0.95,1.036111
symbolic-insufficiency-witness-dual-atlas-bilinear-s777,V_future_relational_witness_symbolic_insufficiency,777,0.126887,0.964706,0.974537
symbolic-insufficiency-control-dual-atlas-bilinear-s42,V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_bilinear,42,0.31717,-0.104875,-0.320892
symbolic-insufficiency-control-dual-atlas-bilinear-s123,V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_bilinear,123,0.292816,0.166544,-0.016587
symbolic-insufficiency-control-dual-atlas-bilinear-s777,V_control_symbolic_symbolic_insufficiency_regressor_dual_atlas_bilinear,777,0.287159,0.469029,0.676213
