variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.031225,0.374705,1.135735
witness,123,0.035425,0.458908,0.682170
witness,777,0.028008,0.324975,0.801924
control,42,0.036874,-0.129275,-0.790941
control,123,0.039279,0.245788,0.473622
control,777,0.030219,0.042688,0.116489
mean_witness,,0.031553,0.386196,0.873276
mean_control,,0.035457,0.053067,-0.066943
