"run_id","variant","seed","mae","rank_correlation","calibration_slope"
"transfer-path-pair1-control-s42","V_control_symbolic_symbolic_insufficiency_path_regressor","42","0.221963","-0.309524","0.100495"
"transfer-path-pair1-control-s123","V_control_symbolic_symbolic_insufficiency_path_regressor","123","0.190639","0.190476","0.382794"
"transfer-path-pair1-control-s777","V_control_symbolic_symbolic_insufficiency_path_regressor","777","0.157772","0.5","0.649264"
"transfer-path-pair1-witness-s42","V_future_relational_witness_symbolic_insufficiency_path","42","0.189434","0.595238","2.317568"
"transfer-path-pair1-witness-s123","V_future_relational_witness_symbolic_insufficiency_path","123","0.141027","0.928571","0.475008"
"transfer-path-pair1-witness-s777","V_future_relational_witness_symbolic_insufficiency_path","777","0.154504","0.02381","0.545386"
