variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.009772,0.391234,1.006770
witness,123,0.008824,0.458481,1.290352
witness,777,0.015382,0.478288,0.757314
control,42,0.014572,-0.117749,0.524156
control,123,0.011365,0.307387,1.596462
control,777,0.017057,0.140673,-0.376455
mean_witness,,0.011326,0.442668,1.018145
mean_control,,0.014331,0.110104,0.581388
