model,seed,mae,rank_correlation,calibration_slope
witness,42,0.069207,0.352941,0.512326
witness,123,0.068125,0.450000,1.104448
witness,777,0.130149,-0.544518,-1.104274
control,42,0.133427,0.032353,0.183572
control,123,0.068140,0.526471,1.363465
control,777,0.116299,-0.304636,-0.781197
witness_mean,mean,0.089160,0.086141,0.170833
control_mean,mean,0.105955,0.084729,0.255280
