variant,seed,mae,rank_correlation,calibration_slope
witness,42,0.007875,-0.495942,-1.807494
witness,123,0.007345,0.176667,0.159562
witness,777,0.010486,0.150674,0.965222
control,42,0.007850,-0.508823,-1.644587
control,123,0.007873,0.042946,-0.221497
control,777,0.010154,0.069549,-0.031107
mean_witness,,0.008569,-0.056200,-0.227570
mean_control,,0.008626,-0.132109,-0.632397
