provider,stage106_status,stage111_status,stage128_ready,client_factory_implemented,client_factory_blocked_with_allow,cutover_authorized,blockers
amazon_braket,blocked,blocked,True,True,True,False,stage106:backend_selection_missing; stage106:braket_output_s3_bucket_missing; stage106:braket_region_missing; stage106:provider_credentials_missing; stage111:provider_sdk_missing; stage111:stage106_provider_preflight_not_ready; stage128:client_factory_still_blocked_with_allow
ibm_runtime,blocked,blocked,True,True,True,False,stage106:ibm_instance_crn_missing; stage111:stage106_provider_preflight_not_ready; stage128:client_factory_still_blocked_with_allow
