method,run_count,row_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_probability_mean,mean_target_probability_ci_low,mean_target_probability_ci_high,target_probability_mae_mean,target_probability_mae_ci_low,target_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_rank_mean,mean_first_relevant_rank_ci_low,mean_first_relevant_rank_ci_high,selected_temperature_mean,selected_temperature_ci_low,selected_temperature_ci_high,delta_target_probability_mean,delta_target_probability_ci_low,delta_target_probability_ci_high,delta_expected_calibration_error_mean,delta_expected_calibration_error_ci_low,delta_expected_calibration_error_ci_high
rope_relative,5,60,0.006843,0.006569,0.007134,1.0,1.0,1.0,1.0,1.0,1.0,0.993605,0.993352,0.993899,0.006395,0.006142,0.006647,0.993605,0.99335,0.993882,0.006395,0.006142,0.006648,1.0,1.0,1.0,0.25,0.25,0.25,0.280579,0.279456,0.281625,-0.284761,-0.285824,-0.283651
sinusoidal,5,60,0.371576,0.369839,0.373604,0.786667,0.726667,0.816667,0.888334,0.856667,0.904167,0.748011,0.746988,0.748923,0.251989,0.251108,0.252871,0.750139,0.748427,0.751874,0.08606,0.081995,0.091988,1.25,1.216667,1.316667,0.25,0.25,0.25,0.319681,0.317634,0.321559,-0.286457,-0.308928,-0.244608
phasewrap_distance_adapter,5,60,0.09566,0.09345,0.098019,1.0,1.0,1.0,1.0,1.0,1.0,0.917118,0.915264,0.918671,0.082882,0.081134,0.08463,0.915886,0.914115,0.917621,0.084114,0.082379,0.08611,1.0,1.0,1.0,0.25,0.25,0.25,0.488044,0.485014,0.491122,-0.497286,-0.500206,-0.494315
phasewrap_multiscale_adapter,5,60,0.043932,0.042495,0.044898,1.0,1.0,1.0,1.0,1.0,1.0,0.960102,0.959284,0.961285,0.039898,0.038715,0.040716,0.95892,0.958098,0.960034,0.04108,0.03997,0.041902,1.0,1.0,1.0,0.25,0.25,0.25,0.479792,0.479039,0.480658,-0.488406,-0.489105,-0.487739
