method,run_count,row_count,feature_dim,hidden_dim,parameter_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_probability_mean,mean_target_probability_ci_low,mean_target_probability_ci_high,target_probability_mae_mean,target_probability_mae_ci_low,target_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_rank_mean,mean_first_relevant_rank_ci_low,mean_first_relevant_rank_ci_high
no_position,5,60,12,10,141,3.339146,3.334386,3.345696,0.0,0.0,0.0,0.153196,0.153196,0.153196,0.036672,0.036414,0.036843,0.963328,0.963153,0.963581,0.034486,0.034099,0.034708,0.034486,0.034103,0.034713,13.9,13.9,13.9
alibi,5,60,12,10,141,3.344162,3.339408,3.350432,0.0,0.0,0.0,0.153196,0.153196,0.153196,0.036564,0.036345,0.036716,0.963436,0.963282,0.963651,0.032607,0.031926,0.033075,0.032607,0.031926,0.033103,13.9,13.9,13.9
rope_relative,5,60,12,10,141,0.341624,0.339994,0.342881,1.0,1.0,1.0,1.0,1.0,1.0,0.713026,0.71211,0.714167,0.286974,0.285804,0.287861,0.708844,0.707948,0.709947,0.291156,0.290053,0.292052,1.0,1.0,1.0
sinusoidal,5,60,12,10,141,0.88254,0.879636,0.884979,0.786667,0.726667,0.816667,0.888334,0.856667,0.904167,0.42833,0.42724,0.429703,0.57167,0.570101,0.572825,0.42654,0.425497,0.427838,0.372516,0.337261,0.390943,1.25,1.216667,1.316667
phasewrap_distance_adapter,5,60,12,10,141,0.874618,0.864072,0.883844,1.0,1.0,1.0,1.0,1.0,1.0,0.429075,0.42449,0.433669,0.570925,0.566269,0.575572,0.418599,0.414082,0.423117,0.581401,0.576883,0.586068,1.0,1.0,1.0
phasewrap_multiscale_adapter,5,60,12,10,141,0.754907,0.750848,0.758212,1.0,1.0,1.0,1.0,1.0,1.0,0.48031,0.478709,0.482169,0.51969,0.517877,0.52112,0.470514,0.469181,0.472188,0.529486,0.527812,0.530819,1.0,1.0,1.0
