task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,311,no_position,no_position,12,6,12,7,1.0,0.0,4.316371,2.13651,0.310795,1.364509,0.916667,0.958333,0.844189,0.91355,0.142033,1.887574,6.603328,0.333333,0.666667,0.323846,0.833626,0.612833,2.802348,16.483301,0.0,0.5,0.069683,0.80072,0.80072
exact_offset_passkey,311,no_position,no_position,12,6,12,7,1.0,0.0,4.316371,2.13651,2.199454,9.020091,0.416667,0.487185,0.426142,0.593505,0.19566,3.767943,43.290914,0.166667,0.28691,0.133589,0.329522,0.276386,4.16875,64.634596,0.25,0.28605,0.192786,0.48846,0.33227
tiny_text_fact_qa,311,no_position,no_position,12,6,12,7,1.0,0.0,4.316371,2.13651,0.333762,1.396211,1.0,1.0,0.721746,0.721746,0.278254,0.407776,1.50347,1.0,1.0,0.668615,0.668615,0.331385,0.59493,1.812903,1.0,1.0,0.560464,0.560464,0.439536
phase_cued_retrieval,311,sinusoidal,sinusoidal,12,6,12,7,1.0,3.488637,2.296447,2.603179,0.273626,1.314723,0.916667,0.958333,0.89011,0.961513,0.061869,2.244457,9.435289,0.333333,0.638889,0.339539,0.907905,0.574571,3.111926,22.464275,0.0,0.416667,0.056188,0.817853,0.817853
exact_offset_passkey,311,sinusoidal,sinusoidal,12,6,12,7,1.0,3.488637,2.296447,2.603179,0.916327,2.500091,0.666667,0.805556,0.558178,0.674479,0.167171,1.204732,3.335863,0.833333,0.888889,0.373495,0.453758,0.577227,1.647317,5.193028,0.583333,0.729167,0.308057,0.539581,0.48439
tiny_text_fact_qa,311,sinusoidal,sinusoidal,12,6,12,7,1.0,3.488637,2.296447,2.603179,0.152628,1.164891,1.0,1.0,0.859684,0.859684,0.140316,0.17771,1.194478,1.0,1.0,0.837938,0.837938,0.162062,0.321233,1.378827,1.0,1.0,0.736818,0.736818,0.263182
phase_cued_retrieval,311,alibi,alibi,12,6,12,7,1.0,-0.550062,4.349365,1.550062,0.317045,1.373064,0.916667,0.958333,0.8427,0.912792,0.144498,1.915835,6.79261,0.333333,0.666667,0.322044,0.834392,0.614207,2.841782,17.146297,0.0,0.5,0.067491,0.803745,0.803745
exact_offset_passkey,311,alibi,alibi,12,6,12,7,1.0,-0.550062,4.349365,1.550062,2.193697,8.968309,0.416667,0.487185,0.427307,0.593188,0.19427,3.781799,43.894928,0.166667,0.28691,0.133266,0.33355,0.281043,4.18752,65.859289,0.25,0.28605,0.193594,0.491293,0.335088
tiny_text_fact_qa,311,alibi,alibi,12,6,12,7,1.0,-0.550062,4.349365,1.550062,0.323029,1.381306,1.0,1.0,0.729101,0.729101,0.270899,0.395843,1.485636,1.0,1.0,0.676366,0.676366,0.323634,0.578145,1.782729,1.0,1.0,0.569338,0.569338,0.430662
phase_cued_retrieval,311,rope_relative,rope,12,6,12,7,1.0,4.409536,3.508173,2.37412,0.298349,1.347632,0.916667,0.958333,0.893656,0.969003,0.072759,2.384227,10.850672,0.333333,0.666667,0.334918,0.941972,0.608639,4.00282,54.752358,0.0,0.444444,0.020439,0.92831,0.92831
