row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,3.936113,51.219107,0.4,0.491656,0.441896,0.558104,0.592213,0.240763,63.0,sinusoidal,3433,multi_needle
20,6.277287,532.342372,0.25,0.276888,0.199282,0.800718,0.39498,0.14523,79.4,sinusoidal,3433,aggregation
20,7.086854,1196.139198,0.25,0.304411,0.246761,0.753239,0.457432,0.212883,111.8,sinusoidal,3449,passkey_exact
20,4.034731,56.527692,0.5,0.551961,0.417658,0.582342,0.538265,0.157256,48.8,sinusoidal,3449,multi_needle
20,6.088392,440.712378,0.2,0.261824,0.201078,0.798922,0.391592,0.191807,74.35,sinusoidal,3449,aggregation
20,7.157784,1284.062165,0.15,0.25666,0.246168,0.753832,0.434931,0.284931,114.75,sinusoidal,3457,passkey_exact
20,3.990725,54.094073,0.45,0.507437,0.45097,0.54903,0.58323,0.181659,62.7,sinusoidal,3457,multi_needle
20,6.906246,998.492063,0.25,0.266124,0.219294,0.780706,0.375659,0.194756,78.95,sinusoidal,3457,aggregation
20,7.653693,2108.418643,0.15,0.234072,0.145495,0.854505,0.374015,0.257507,117.65,phasewrap_distance_adapter,3407,passkey_exact
20,4.87563,131.056636,0.5,0.537204,0.417101,0.582899,0.622349,0.230333,56.7,phasewrap_distance_adapter,3407,multi_needle
20,7.003948,1100.971026,0.15,0.211295,0.135753,0.864247,0.38798,0.315822,88.15,phasewrap_distance_adapter,3407,aggregation
20,7.444606,1710.611453,0.2,0.251958,0.141437,0.858563,0.319099,0.201567,117.75,phasewrap_distance_adapter,3413,passkey_exact
20,5.084744,161.538641,0.5,0.518528,0.437154,0.562846,0.659075,0.211437,61.15,phasewrap_distance_adapter,3413,multi_needle
20,6.644611,768.630732,0.2,0.240815,0.164511,0.835489,0.434201,0.317915,74.0,phasewrap_distance_adapter,3413,aggregation
20,8.432656,4594.68513,0.15,0.209153,0.133003,0.866997,0.41314,0.275391,102.6,phasewrap_distance_adapter,3433,passkey_exact
20,5.24784,190.155045,0.5,0.53796,0.40297,0.59703,0.563886,0.202132,60.25,phasewrap_distance_adapter,3433,multi_needle
20,6.900814,993.082775,0.25,0.27368,0.180906,0.819094,0.423463,0.248824,86.25,phasewrap_distance_adapter,3433,aggregation
20,8.114994,3344.236184,0.15,0.218759,0.163423,0.836577,0.427412,0.277412,108.6,phasewrap_distance_adapter,3449,passkey_exact
20,4.968659,143.83381,0.5,0.536219,0.402485,0.597515,0.618641,0.243467,57.75,phasewrap_distance_adapter,3449,multi_needle
20,6.557028,704.175455,0.2,0.249796,0.200433,0.799567,0.390955,0.240582,76.75,phasewrap_distance_adapter,3449,aggregation
20,7.646667,2093.655429,0.1,0.197985,0.133621,0.866379,0.370281,0.282758,109.2,phasewrap_distance_adapter,3457,passkey_exact
20,4.429119,83.857533,0.5,0.540159,0.438166,0.561834,0.63918,0.168237,52.6,phasewrap_distance_adapter,3457,multi_needle
20,6.265993,526.364134,0.2,0.244745,0.168001,0.831999,0.392077,0.25149,84.8,phasewrap_distance_adapter,3457,aggregation
20,8.156932,3487.468981,0.15,0.213854,0.133009,0.866991,0.454835,0.381623,121.7,phasewrap_multiscale_adapter,3407,passkey_exact
20,4.287957,72.817546,0.5,0.534475,0.359948,0.640052,0.55117,0.224266,67.4,phasewrap_multiscale_adapter,3407,multi_needle
20,6.036656,418.491375,0.2,0.244382,0.161869,0.838131,0.358765,0.21216,69.95,phasewrap_multiscale_adapter,3407,aggregation
20,8.454005,4693.832216,0.15,0.202656,0.130883,0.869117,0.479703,0.363214,97.25,phasewrap_multiscale_adapter,3413,passkey_exact
20,4.575347,97.061688,0.35,0.467159,0.324038,0.675962,0.52866,0.200119,53.95,phasewrap_multiscale_adapter,3413,multi_needle
20,6.019908,411.540885,0.2,0.249276,0.152055,0.847945,0.359268,0.162891,83.5,phasewrap_multiscale_adapter,3413,aggregation
20,8.9362,7602.251931,0.1,0.174187,0.120997,0.879003,0.43012,0.343993,121.85,phasewrap_multiscale_adapter,3433,passkey_exact
20,4.397825,81.273877,0.55,0.565857,0.34259,0.65741,0.513538,0.226265,60.6,phasewrap_multiscale_adapter,3433,multi_needle
20,6.473717,647.887249,0.2,0.245466,0.165167,0.834833,0.356309,0.195836,86.95,phasewrap_multiscale_adapter,3433,aggregation
20,9.432482,12487.486601,0.1,0.17424,0.099255,0.900745,0.485338,0.385338,119.0,phasewrap_multiscale_adapter,3449,passkey_exact
20,4.686239,108.444573,0.4,0.46846,0.324688,0.675312,0.493236,0.180568,62.5,phasewrap_multiscale_adapter,3449,multi_needle
20,6.234861,510.229507,0.15,0.212329,0.148944,0.851056,0.353893,0.233348,83.4,phasewrap_multiscale_adapter,3449,aggregation
20,8.546011,5146.182986,0.15,0.20052,0.122868,0.877132,0.479872,0.329872,115.2,phasewrap_multiscale_adapter,3457,passkey_exact
20,5.005338,149.207537,0.4,0.484686,0.316221,0.683779,0.538324,0.282148,58.75,phasewrap_multiscale_adapter,3457,multi_needle
20,6.25713,521.719581,0.2,0.260332,0.169696,0.830304,0.373222,0.250216,83.55,phasewrap_multiscale_adapter,3457,aggregation
