method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,loss_mean,loss_ci_low,loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high
no_position,5,60,12,10,16,8622,8.282274,7.717356,8.750239,0.0,0.0,0.0,0.034697,0.031208,0.038143,0.005769,0.004941,0.006589,0.994231,0.993397,0.995142,0.262192,0.199475,0.306632,0.262192,0.200843,0.306632,102.586667,101.47,104.426667
alibi,5,60,12,10,16,8622,8.458704,8.267592,8.662697,0.003333,0.0,0.01,0.031067,0.025631,0.036761,0.00546,0.003999,0.007615,0.99454,0.992354,0.996001,0.274591,0.261538,0.288373,0.271258,0.251376,0.287473,106.85,99.913333,112.593333
rope_relative,5,60,12,10,16,8622,5.947833,5.698764,6.179197,0.36,0.353333,0.366667,0.403972,0.395856,0.413577,0.345612,0.342767,0.348024,0.654388,0.652026,0.6568,0.550798,0.52873,0.572867,0.200296,0.176662,0.225177,79.74,76.89,82.59
sinusoidal,5,60,12,10,16,8622,5.796723,5.538831,6.051116,0.313333,0.29,0.34,0.368166,0.351539,0.386807,0.293361,0.288167,0.299862,0.706639,0.700521,0.711713,0.459268,0.449548,0.470961,0.17506,0.152561,0.193428,84.17,80.743333,87.493333
phasewrap_distance_adapter,5,60,12,10,16,8622,6.484733,6.255998,6.696744,0.283333,0.27,0.296667,0.333489,0.329025,0.337931,0.244297,0.237002,0.250799,0.755703,0.7494,0.762998,0.46905,0.464677,0.474273,0.207237,0.199661,0.213998,83.613333,81.833333,85.8
phasewrap_multiscale_adapter,5,60,12,10,16,8622,6.50004,6.286776,6.675457,0.253333,0.23,0.276666,0.313192,0.295315,0.326799,0.204815,0.196959,0.213347,0.795185,0.787864,0.803041,0.450417,0.44,0.458667,0.209341,0.178325,0.227519,85.703333,81.87,88.706667
