provider,window_id,job_count,command_authorized,submitter_import_path,live_submit_command_available,blockers,live_submit_command
amazon_braket,amazon_braket__independent_window_00,84,False,qrope.provider_adapters.amazon_braket:submit,False,stage116:provider_not_ready; stage116:provider_sdk_missing; stage116:runner_not_ready; stage116:runner_plan_not_ready; stage116:stage106_provider_preflight_not_ready; stage116:stage111_provider_not_ready; stage129:cutover_not_authorized; stage129:live_cutover_not_authorized; stage129:stage106:backend_selection_missing; stage129:stage106:braket_output_s3_bucket_missing; stage129:stage106:braket_region_missing; stage129:stage106:provider_credentials_missing; stage129:stage111:provider_sdk_missing; stage129:stage111:stage106_provider_preflight_not_ready,
amazon_braket,amazon_braket__independent_window_01,84,False,qrope.provider_adapters.amazon_braket:submit,False,stage116:provider_not_ready; stage116:provider_sdk_missing; stage116:runner_not_ready; stage116:runner_plan_not_ready; stage116:stage106_provider_preflight_not_ready; stage116:stage111_provider_not_ready; stage129:cutover_not_authorized; stage129:live_cutover_not_authorized; stage129:stage106:backend_selection_missing; stage129:stage106:braket_output_s3_bucket_missing; stage129:stage106:braket_region_missing; stage129:stage106:provider_credentials_missing; stage129:stage111:provider_sdk_missing; stage129:stage111:stage106_provider_preflight_not_ready,
ibm_runtime,ibm_runtime__independent_window_00,164,False,qrope.provider_adapters.ibm_runtime:submit,False,stage116:provider_not_ready; stage116:runner_not_ready; stage116:runner_plan_not_ready; stage116:stage106_provider_preflight_not_ready; stage116:stage111_provider_not_ready; stage129:cutover_not_authorized; stage129:live_cutover_not_authorized; stage129:stage106:ibm_instance_crn_missing; stage129:stage111:stage106_provider_preflight_not_ready,
ibm_runtime,ibm_runtime__independent_window_01,164,False,qrope.provider_adapters.ibm_runtime:submit,False,stage116:provider_not_ready; stage116:runner_not_ready; stage116:runner_plan_not_ready; stage116:stage106_provider_preflight_not_ready; stage116:stage111_provider_not_ready; stage129:cutover_not_authorized; stage129:live_cutover_not_authorized; stage129:stage106:ibm_instance_crn_missing; stage129:stage111:stage106_provider_preflight_not_ready,
