row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability_mass,target_probability_mass_ci_low,target_probability_mass_ci_high,mean_first_relevant_rank,method
60,3.323466,27.75639,0.05,0.0,0.1,0.118035,0.069565,0.17749,0.037879,0.034722,0.04112,21.016667,no_position
60,3.286152,26.739782,0.0,0.0,0.0,0.153196,0.121164,0.185813,0.038645,0.036228,0.041242,13.9,alibi
60,0.203493,1.225677,1.0,1.0,1.0,1.0,1.0,1.0,0.821549,0.798655,0.844044,1.0,rope_relative
60,0.997886,2.712541,0.666667,0.533333,0.766667,0.825,0.763889,0.888889,0.381731,0.357605,0.403956,1.383333,sinusoidal
60,3.15461,23.44389,0.016667,0.0,0.05,0.08086,0.059071,0.123087,0.044468,0.040651,0.048521,16.766667,phasewrap_score
60,1.389953,4.014661,0.45,0.333333,0.583333,0.673611,0.597222,0.747222,0.260873,0.241539,0.282122,1.9,phasewrap_residual_adapter
60,0.878779,2.407958,1.0,1.0,1.0,1.0,1.0,1.0,0.429105,0.39962,0.458483,1.0,phasewrap_distance_adapter
