method,run_count,top1_mean,top1_min,top1_max,mrr_mean,mrr_min,mrr_max,mean_target_value_probability_mean,mean_target_value_probability_min,mean_target_value_probability_max,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_min,mean_first_relevant_value_rank_max
no_position,5,0.016667,0.0,0.066667,0.053413,0.033871,0.102984,0.010921,0.006736,0.024141,104.0,97.116667,111.6
alibi,5,0.02,0.0,0.05,0.050738,0.038682,0.07618,0.00969,0.007263,0.012934,106.72,94.233333,122.55
rope_relative,5,0.383333,0.35,0.433333,0.426498,0.399642,0.44901,0.362492,0.341198,0.373645,77.576667,68.666667,84.533333
sinusoidal,5,0.14,0.0,0.233333,0.195098,0.020441,0.303537,0.129313,0.001151,0.21638,96.733333,89.033333,108.05
phasewrap_score,5,0.006667,0.0,0.016667,0.035437,0.023524,0.046642,0.007448,0.003859,0.01077,109.673334,102.816667,115.35
phasewrap_residual_adapter,5,0.073333,0.016667,0.15,0.120739,0.048489,0.224397,0.0556,0.00793,0.128866,100.59,79.433333,112.75
phasewrap_distance_adapter,5,0.056667,0.0,0.266667,0.087324,0.018217,0.312769,0.047178,0.001114,0.221146,104.686667,79.866667,113.516667
