task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_scale,routing_support_scale,routing_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,313,sinusoidal,sinusoidal,12,6,12,7,1.0,2.364041,4.507803,9.315391,2.364041,4.507803,9.315391,0.031392,1.03189,1.0,1.0,0.970755,0.970755,0.029245,0.755864,2.12945,0.5,0.75,0.54908,0.647236,0.403857,1.180724,3.25673,0.416667,0.708333,0.431994,0.728883,0.319275
exact_offset_passkey,313,sinusoidal,sinusoidal,12,6,12,7,1.0,2.364041,4.507803,9.315391,2.364041,4.507803,9.315391,0.700229,2.014214,1.0,1.0,0.548503,0.548503,0.451497,0.557763,1.746761,1.0,1.0,0.659423,0.659423,0.340577,1.721565,5.593274,0.583333,0.743056,0.392052,0.600934,0.276816
tiny_text_fact_qa,313,sinusoidal,sinusoidal,12,6,12,7,1.0,2.364041,4.507803,9.315391,2.364041,4.507803,9.315391,0.108133,1.114196,1.0,1.0,0.911144,0.911144,0.088856,0.070225,1.072749,1.0,1.0,0.932248,0.932248,0.067752,0.13497,1.144502,1.0,1.0,0.876001,0.876001,0.123999
phase_cued_retrieval,313,alibi,alibi,12,6,12,7,1.0,-4.31103,5.594896,4.31103,-4.31103,5.594896,4.31103,0.025033,1.025349,1.0,1.0,0.976232,0.976232,0.023768,0.520303,1.682538,0.5,0.75,0.637364,0.67608,0.183127,1.01627,2.762871,0.5,0.75,0.441117,0.69686,0.322392
exact_offset_passkey,313,alibi,alibi,12,6,12,7,1.0,-4.31103,5.594896,4.31103,-4.31103,5.594896,4.31103,2.766139,15.897136,0.25,0.300997,0.270005,0.323256,0.075577,1.85342,6.381604,0.5,0.574123,0.492016,0.526211,0.074921,3.543504,34.587912,0.25,0.345456,0.254517,0.499735,0.249735
tiny_text_fact_qa,313,alibi,alibi,12,6,12,7,1.0,-4.31103,5.594896,4.31103,-4.31103,5.594896,4.31103,0.501474,1.651153,0.916667,0.924242,0.710172,0.712606,0.216174,0.371384,1.449739,1.0,1.0,0.691696,0.691696,0.308304,0.478543,1.613722,1.0,1.0,0.622355,0.622355,0.377645
phase_cued_retrieval,313,rope_relative,rope,12,6,12,7,1.0,2.413369,5.171746,8.920179,2.413369,5.171746,8.920179,0.030778,1.031257,1.0,1.0,0.971366,0.971366,0.028634,0.637917,1.892535,0.5,0.75,0.587706,0.700413,0.396528,1.297835,3.66136,0.416667,0.708333,0.338851,0.654936,0.600941
exact_offset_passkey,313,rope_relative,rope,12,6,12,7,1.0,2.413369,5.171746,8.920179,2.413369,5.171746,8.920179,1.965048,7.135256,0.416667,0.521991,0.30803,0.325833,0.126753,1.223177,3.397967,0.666667,0.726852,0.539811,0.563681,0.133688,2.28586,9.834142,0.416667,0.540608,0.310609,0.455183,0.212318
tiny_text_fact_qa,313,rope_relative,rope,12,6,12,7,1.0,2.413369,5.171746,8.920179,2.413369,5.171746,8.920179,0.327016,1.386824,0.916667,0.958333,0.791888,0.791916,0.143704,0.201089,1.222733,1.0,1.0,0.818626,0.818626,0.181374,0.236605,1.266941,1.0,1.0,0.790104,0.790104,0.209896
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.546335,5.375664,8.143731,-1.546335,5.375664,8.143731,0.02623,1.026577,1.0,1.0,0.975207,0.975207,0.024793,0.53721,1.711227,0.5,0.75,0.630346,0.687278,0.193033,1.016452,2.763372,0.5,0.75,0.438696,0.698195,0.315061
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.546335,5.375664,8.143731,-1.546335,5.375664,8.143731,2.40729,11.103831,0.25,0.324027,0.280646,0.347,0.098853,1.901331,6.694802,0.5,0.543056,0.49142,0.629767,0.170953,3.678704,39.595062,0.25,0.335849,0.253489,0.558475,0.308475
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.546335,5.375664,8.143731,-1.546335,5.375664,8.143731,0.431321,1.53929,0.916667,0.927083,0.748528,0.758727,0.187876,0.291098,1.337895,1.0,1.0,0.748668,0.748668,0.251332,0.404808,1.499015,1.0,1.0,0.669047,0.669047,0.330953
