support_policy,task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,test_support_known_fraction,test_support_missing_mod_count,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
fallback_mod16,phase_cued_retrieval,311,rope_relative,rope,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,2.039418,7.686136,0.75,0.760417,0.357488,0.478559,0.515191
fallback_mod16,phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,2.039418,7.686136,0.75,0.760417,0.357488,0.478559,0.515191
fallback_mod16,phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.610021, 'perplexity': 1.84047, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.543518, 'mean_top1_confidence': 0.543518, 'expected_calibration_error': 0.456482}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,0.610021,1.84047,1.0,1.0,0.543518,0.543518,0.456482,2.039418,7.686136,0.75,0.760417,0.357488,0.478559,0.515191
strict_known_only,phase_cued_retrieval,311,no_position,no_position,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.87809, 'perplexity': 6.541001, 'top1_accuracy': 0.5, 'mrr': 0.5625, 'mean_target_probability': 0.286853, 'mean_top1_confidence': 0.357545, 'expected_calibration_error': 0.327974}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,1.87809,6.541001,0.5,0.5625,0.286853,0.357545,0.327974,3.385411,29.530133,0.0,0.177083,0.057954,0.138997,0.138997
strict_known_only,phase_cued_retrieval,311,sinusoidal,sinusoidal,4,2,4,0.0,4,1.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.959841, 'perplexity': 7.098198, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.231684, 'mean_top1_confidence': 0.357976, 'expected_calibration_error': 0.442363}",0.540748,1.717291,0.75,0.875,0.690556,0.840276,0.182875,1.959841,7.098198,0.5,0.583333,0.231684,0.357976,0.442363,3.264067,26.155685,0.25,0.349405,0.064965,0.143711,0.106289
strict_known_only,phase_cued_retrieval,311,alibi,alibi,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.87809, 'perplexity': 6.541001, 'top1_accuracy': 0.5, 'mrr': 0.5625, 'mean_target_probability': 0.286853, 'mean_top1_confidence': 0.357545, 'expected_calibration_error': 0.327974}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,1.87809,6.541001,0.5,0.5625,0.286853,0.357545,0.327974,3.385411,29.530133,0.0,0.177083,0.057954,0.138997,0.138997
strict_known_only,phase_cued_retrieval,311,rope_relative,rope,4,2,4,0.0,4,4.0,2.0,8.0,"{'row_count': 2.0, 'loss': 2.056041, 'perplexity': 7.814972, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.160589, 'mean_top1_confidence': 0.235336, 'expected_calibration_error': 0.264664}",1.452954,4.275727,0.5,0.645833,0.405809,0.5951,0.373618,2.056041,7.814972,0.5,0.583333,0.160589,0.235336,0.264664,3.343198,28.309506,0.0,0.185227,0.056685,0.129083,0.129083
strict_known_only,phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.87809, 'perplexity': 6.541001, 'top1_accuracy': 0.5, 'mrr': 0.5625, 'mean_target_probability': 0.286853, 'mean_top1_confidence': 0.357545, 'expected_calibration_error': 0.327974}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,1.87809,6.541001,0.5,0.5625,0.286853,0.357545,0.327974,3.385411,29.530133,0.0,0.177083,0.057954,0.138997,0.138997
strict_known_only,phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 1.87809, 'perplexity': 6.541001, 'top1_accuracy': 0.5, 'mrr': 0.5625, 'mean_target_probability': 0.286853, 'mean_top1_confidence': 0.357545, 'expected_calibration_error': 0.327974}",0.757937,2.13387,0.75,0.875,0.632772,0.822161,0.261279,1.87809,6.541001,0.5,0.5625,0.286853,0.357545,0.327974,3.385411,29.530133,0.0,0.177083,0.057954,0.138997,0.138997
fallback_mod16,phase_cued_retrieval,313,no_position,no_position,4,2,4,0.0,4,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.458807, 'perplexity': 1.582186, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.632092, 'mean_top1_confidence': 0.632092, 'expected_calibration_error': 0.367908}",0.280745,1.324116,1.0,1.0,0.758663,0.758663,0.241337,0.458807,1.582186,1.0,1.0,0.632092,0.632092,0.367908,2.584448,13.255966,0.5,0.539141,0.252617,0.412732,0.224166
