method,run_count,row_count,feature_dim,hidden_dim,value_embed_dim,parameter_count,attention_scope,value_output_mode,curriculum,loss_mean,loss_ci_low,loss_ci_high,generator_loss_mean,generator_loss_ci_low,generator_loss_ci_high,top1_accuracy_mean,top1_accuracy_ci_low,top1_accuracy_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high,generator_top1_accuracy_mean,generator_top1_accuracy_ci_low,generator_top1_accuracy_ci_high,generator_mrr_mean,generator_mrr_ci_low,generator_mrr_ci_high,mean_target_value_probability_mean,mean_target_value_probability_ci_low,mean_target_value_probability_ci_high,mean_target_attention_probability_mean,mean_target_attention_probability_ci_low,mean_target_attention_probability_ci_high,mean_generator_target_probability_mean,mean_generator_target_probability_ci_low,mean_generator_target_probability_ci_high,mean_copy_gate_mean,mean_copy_gate_ci_low,mean_copy_gate_ci_high,target_value_probability_mae_mean,target_value_probability_mae_ci_low,target_value_probability_mae_ci_high,mean_top1_confidence_mean,mean_top1_confidence_ci_low,mean_top1_confidence_ci_high,expected_calibration_error_mean,expected_calibration_error_ci_low,expected_calibration_error_ci_high,mean_first_relevant_value_rank_mean,mean_first_relevant_value_rank_ci_low,mean_first_relevant_value_rank_ci_high,mean_generator_first_relevant_value_rank_mean,mean_generator_first_relevant_value_rank_ci_low,mean_generator_first_relevant_value_rank_ci_high
no_position,5,180,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,2.214962,2.173115,2.243603,1.054176,0.944336,1.151624,0.23,0.203333,0.256667,0.409926,0.395241,0.425609,0.895556,0.871111,0.916667,0.93624,0.92199,0.95049,0.130001,0.120413,0.142066,0.104299,0.103885,0.104712,0.430569,0.399924,0.458511,0.958679,0.940432,0.973239,0.869999,0.858546,0.878594,0.140303,0.131326,0.152653,0.089697,0.066059,0.109352,5.13,5.044444,5.181111,1.252222,1.164445,1.345556
alibi,5,180,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,2.223877,2.213353,2.234401,1.013162,0.857846,1.120616,0.206667,0.198889,0.215555,0.385908,0.381093,0.390723,0.894444,0.863333,0.935555,0.935969,0.916274,0.964504,0.128419,0.124005,0.132304,0.103532,0.103378,0.10366,0.445362,0.409795,0.490633,0.959564,0.950622,0.968507,0.871581,0.867556,0.876079,0.139348,0.133812,0.144745,0.067319,0.062268,0.074197,5.265556,5.227778,5.315556,1.208889,1.112222,1.295556
rope_relative,5,180,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.001176,0.001098,0.001262,0.019403,0.017364,0.021365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998829,0.998744,0.998905,0.999185,0.99914,0.999248,0.980864,0.97889,0.982769,0.97685,0.975999,0.977672,0.001171,0.001087,0.001256,0.995583,0.994543,0.99686,0.004417,0.003075,0.005395,1.0,1.0,1.0,1.0,1.0,1.0
sinusoidal,5,180,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.042103,0.039313,0.044479,0.023229,0.021247,0.02573,0.978889,0.967778,0.99,0.988889,0.982963,0.994815,0.998889,0.996666,1.0,0.999444,0.998333,1.0,0.969594,0.967986,0.971043,0.961535,0.959994,0.963583,0.977385,0.975298,0.979115,0.963227,0.960203,0.965725,0.030406,0.028987,0.031625,0.964556,0.962488,0.966473,0.025123,0.020021,0.029689,1.024445,1.011111,1.037778,1.001111,1.0,1.003334
phasewrap_distance_adapter,5,180,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.004748,0.00438,0.005117,0.019699,0.017004,0.022078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995383,0.994986,0.99572,0.995671,0.995309,0.995981,0.9806,0.978567,0.982893,0.978716,0.976904,0.980227,0.004617,0.00428,0.004984,0.991142,0.990077,0.992162,0.008858,0.007892,0.009911,1.0,1.0,1.0,1.0,1.0,1.0
phasewrap_multiscale_adapter,5,180,14,16,8,4635,full_prefix_sequence_tokens,generator_hardened_pointer_generator_copy_vocab_mixture,train_128_256_512_validate_1024_test_2048,0.007238,0.007044,0.007448,0.022685,0.020896,0.024486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993139,0.992945,0.99331,0.993524,0.993333,0.993711,0.977691,0.975954,0.979427,0.978727,0.975058,0.983322,0.006861,0.00669,0.007069,0.989824,0.988683,0.990823,0.010176,0.009161,0.011223,1.0,1.0,1.0,1.0,1.0,1.0
